"2013-01-29 05:23:42,476",Suite,Test,# Threads,Phase,Action,Thread,Duration (ms),# Executions,# Deadlocks,Executions/s,Deadlocks/s,Avg Exec Time (ms),Avg Resp Time (ms),StdDev Resp Time (ms),Min Resp Time (ms),Max Resp Time (ms)
"2013-01-30 03:27:21,909",LMPI Parallel Query Test Suite,xQuery Test by :cs_q405,1,WARMUP,Execute Query,Aggregated,121157,1000,0,8.253753394,0,121.157,121.146493,0,115.995583,683.199343
"2013-01-30 03:27:21,909",LMPI Parallel Query Test Suite,xQuery Test by :cs_q405,1,WARMUP,Execute Query,ST-0.0-[Execute Query],121157,1000,0,8.253753394,0,121.157,121.146493,28.65537502,115.995583,683.199343
"2013-01-30 03:29:23,742",LMPI Parallel Query Test Suite,xQuery Test by :cs_q405,1,RUN,Execute Query,Aggregated,120848,1000,0,8.274857672,0,120.848,120.8377282,0,115.031123,197.051052
"2013-01-30 03:29:23,742",LMPI Parallel Query Test Suite,xQuery Test by :cs_q405,1,RUN,Execute Query,ST-0.0-[Execute Query],120848,1000,0,8.274857672,0,120.848,120.8377282,15.40754146,115.031123,197.051052
,,,,,,,,,,,,,,,,
"2013-01-29 06:52:08,501",Suite,Test,# Threads,Phase,Action,Thread,Duration (ms),# Executions,# Deadlocks,Executions/s,Deadlocks/s,Avg Exec Time (ms),Avg Resp Time (ms),StdDev Resp Time (ms),Min Resp Time (ms),Max Resp Time (ms)
"2013-01-29 06:52:08,501",LMPI Parallel Query Test Suite,xQuery Test by :cs_q607_sort_para,1,WARMUP,Execute Query,Aggregated,42611,1000,0,23.46811856,0,42.611,42.60136162,0,35.728745,157.81866
"2013-01-29 06:52:08,501",LMPI Parallel Query Test Suite,xQuery Test by :cs_q607_sort_para,1,WARMUP,Execute Query,ST-0.0-[Execute Query],42611,1000,0,23.46811856,0,42.611,42.60136162,5.08281949,35.728745,157.81866
"2013-01-29 06:52:53,023",LMPI Parallel Query Test Suite,xQuery Test by :cs_q607_sort_para,1,RUN,Execute Query,Aggregated,43140,1000,0,23.18034307,0,43.14,43.13103781,0,34.358078,85.727795
"2013-01-29 06:52:53,023",LMPI Parallel Query Test Suite,xQuery Test by :cs_q607_sort_para,1,RUN,Execute Query,ST-0.0-[Execute Query],43140,1000,0,23.18034307,0,43.14,43.13103781,4.377872061,34.358078,85.727795
"2013-01-30 03:30:33,157",Suite,Test,# Threads,Phase,Action,Thread,Duration (ms),# Executions,# Deadlocks,Executions/s,Deadlocks/s,Avg Exec Time (ms),Avg Resp Time (ms),StdDev Resp Time (ms),Min Resp Time (ms),Max Resp Time (ms)
"2013-01-30 03:30:33,157",LMPI Parallel Query Test Suite,xQuery Test by :cs_q507,1,WARMUP,Execute Query,Aggregated,66657,1000,0,15.00217532,0,66.657,66.64601177,0,63.316544,529.367103
"2013-01-30 03:30:33,157",LMPI Parallel Query Test Suite,xQuery Test by :cs_q507,1,WARMUP,Execute Query,ST-0.0-[Execute Query],66657,1000,0,15.00217532,0,66.657,66.64601177,18.8554111,63.316544,529.367103
"2013-01-30 03:31:39,528",LMPI Parallel Query Test Suite,xQuery Test by :cs_q507,1,RUN,Execute Query,Aggregated,65062,1000,0,15.36995481,0,65.062,65.0515179,0,62.320199,134.652472
"2013-01-30 03:31:39,528",LMPI Parallel Query Test Suite,xQuery Test by :cs_q507,1,RUN,Execute Query,ST-0.0-[Execute Query],65062,1000,0,15.36995481,0,65.062,65.0515179,7.548639473,62.320199,134.652472
,,,,,,,,,,,,,,,,
"2013-01-29 06:54:11,060",Suite,Test,# Threads,Phase,Action,Thread,Duration (ms),# Executions,# Deadlocks,Executions/s,Deadlocks/s,Avg Exec Time (ms),Avg Resp Time (ms),StdDev Resp Time (ms),Min Resp Time (ms),Max Resp Time (ms)
"2013-01-29 06:54:11,060",LMPI Parallel Query Test Suite,xQuery Test by :cs_q612_sort_para,1,WARMUP,Execute Query,Aggregated,75187,1000,0,13.30017157,0,75.187,75.17792567,0,48.424869,3030.799391
"2013-01-29 06:54:11,060",LMPI Parallel Query Test Suite,xQuery Test by :cs_q612_sort_para,1,WARMUP,Execute Query,ST-0.0-[Execute Query],75187,1000,0,13.30017157,0,75.187,75.17792567,145.3428771,48.424869,3030.799391
"2013-01-29 06:55:08,398",LMPI Parallel Query Test Suite,xQuery Test by :cs_q612_sort_para,1,RUN,Execute Query,Aggregated,56276,1000,0,17.76956429,0,56.276,56.26804894,0,47.432053,321.493886
"2013-01-29 06:55:08,398",LMPI Parallel Query Test Suite,xQuery Test by :cs_q612_sort_para,1,RUN,Execute Query,ST-0.0-[Execute Query],56276,1000,0,17.76956429,0,56.276,56.26804894,10.44506587,47.432053,321.493886
"2013-01-30 03:34:22,297",Suite,Test,# Threads,Phase,Action,Thread,Duration (ms),# Executions,# Deadlocks,Executions/s,Deadlocks/s,Avg Exec Time (ms),Avg Resp Time (ms),StdDev Resp Time (ms),Min Resp Time (ms),Max Resp Time (ms)
"2013-01-30 03:34:22,297",LMPI Parallel Query Test Suite,xQuery Test by :cs_q512,1,WARMUP,Execute Query,Aggregated,160326,1000,0,6.237291519,0,160.326,160.3167474,0,119.420772,3242.425978
"2013-01-30 03:34:22,297",LMPI Parallel Query Test Suite,xQuery Test by :cs_q512,1,WARMUP,Execute Query,ST-0.0-[Execute Query],160326,1000,0,6.237291519,0,160.326,160.3167474,156.702381,119.420772,3242.425978
"2013-01-30 03:36:34,513",LMPI Parallel Query Test Suite,xQuery Test by :cs_q512,1,RUN,Execute Query,Aggregated,131064,1000,0,7.629860221,0,131.064,131.0527647,0,118.109831,798.366558
"2013-01-30 03:36:34,513",LMPI Parallel Query Test Suite,xQuery Test by :cs_q512,1,RUN,Execute Query,ST-0.0-[Execute Query],131064,1000,0,7.629860221,0,131.064,131.0527647,41.49005324,118.109831,798.366558
,,,,,,,,,,,,,,,,
"2013-01-29 06:56:11,507",Suite,Test,# Threads,Phase,Action,Thread,Duration (ms),# Executions,# Deadlocks,Executions/s,Deadlocks/s,Avg Exec Time (ms),Avg Resp Time (ms),StdDev Resp Time (ms),Min Resp Time (ms),Max Resp Time (ms)
"2013-01-29 06:56:11,507",LMPI Parallel Query Test Suite,xQuery Test by :cs_q613_sort_para,1,WARMUP,Execute Query,Aggregated,60123,1000,0,16.6325699,0,60.123,60.11464939,0,50.541218,271.455714
"2013-01-29 06:56:11,507",LMPI Parallel Query Test Suite,xQuery Test by :cs_q613_sort_para,1,WARMUP,Execute Query,ST-0.0-[Execute Query],60123,1000,0,16.6325699,0,60.123,60.11464939,10.09759796,50.541218,271.455714
"2013-01-29 06:57:12,002",LMPI Parallel Query Test Suite,xQuery Test by :cs_q613_sort_para,1,RUN,Execute Query,Aggregated,59431,1000,0,16.82623547,0,59.431,59.42278324,0,51.099806,190.476661
"2013-01-29 06:57:12,002",LMPI Parallel Query Test Suite,xQuery Test by :cs_q613_sort_para,1,RUN,Execute Query,ST-0.0-[Execute Query],59431,1000,0,16.82623547,0,59.431,59.42278324,6.636218214,51.099806,190.476661
"2013-01-30 03:38:42,530",Suite,Test,# Threads,Phase,Action,Thread,Duration (ms),# Executions,# Deadlocks,Executions/s,Deadlocks/s,Avg Exec Time (ms),Avg Resp Time (ms),StdDev Resp Time (ms),Min Resp Time (ms),Max Resp Time (ms)
"2013-01-30 03:38:42,530",LMPI Parallel Query Test Suite,xQuery Test by :cs_q513,1,WARMUP,Execute Query,Aggregated,124951,1000,0,8.00313723,0,124.951,124.9404139,0,116.790242,540.816038
"2013-01-30 03:38:42,530",LMPI Parallel Query Test Suite,xQuery Test by :cs_q513,1,WARMUP,Execute Query,ST-0.0-[Execute Query],124951,1000,0,8.00313723,0,124.951,124.9404139,31.18318588,116.790242,540.816038
"2013-01-30 03:40:45,108",LMPI Parallel Query Test Suite,xQuery Test by :cs_q513,1,RUN,Execute Query,Aggregated,121407,1000,0,8.236757353,0,121.407,121.3956655,0,115.965171,218.47667
"2013-01-30 03:40:45,108",LMPI Parallel Query Test Suite,xQuery Test by :cs_q513,1,RUN,Execute Query,ST-0.0-[Execute Query],121407,1000,0,8.236757353,0,121.407,121.3956655,14.47601356,115.965171,218.47667
,,,,,,,,,,,,,,,,
"2013-01-29 07:01:55,678",Suite,Test,# Threads,Phase,Action,Thread,Duration (ms),# Executions,# Deadlocks,Executions/s,Deadlocks/s,Avg Exec Time (ms),Avg Resp Time (ms),StdDev Resp Time (ms),Min Resp Time (ms),Max Resp Time (ms)
"2013-01-29 07:01:55,678",LMPI Parallel Query Test Suite,xQuery Test by :cs_q601_para,10,WARMUP,Execute Query,Aggregated,280543,10000,0,35.64515957,0,280.1528,280.0645618,0,66.833219,1465.069674
"2013-01-29 07:01:55,678",LMPI Parallel Query Test Suite,xQuery Test by :cs_q601_para,1,WARMUP,Execute Query,ST-0.2-[Execute Query],279280,1000,0,3.580635921,0,279.28,279.2264527,64.78425527,182.147494,984.65923
